Level	Bob Amount	Bob Speed	Underlayer Anim Speed	Level Speed	AI Brains	AI Normal Speed	AI Panic Speed	AI Board Autofill 1	Autofill 2	Autofill 3	Autofill 4	Autofill 5	Autofill 6	Music	Zap Style	Hints
-1	0	0	6	30	24	10	5	11	11	11	11	11	11	0	1	1
0	0	0	6	25	3	13	9	8	8	8	8	8	8	0	1	1
1	0	0	6	20	6	12	7	10	9	8	8	9	10	1	2	1
2	0	0	6	17	9	10	6	7	7	7	11	7	7	2	3	0
3	0	0	6	13	12	8	5	11	10	9	8	7	6	3	4	0
4	15	40	15	12	15	7	4	5	9	10	10	9	5	4	0	0
5	0	0	6	10	17	7	2	4	7	11	11	6	3	5	1	0
6	0	0	6	9	18	6	4	7	9	10	10	9	7	6	2	0
7	0	0	6	8	20	5	3	5	10	10	10	10	5	7	3	0
8	50	20	6	7	21	5	3	11	11	10	10	9	9	8	4	0
9	0	0	6	6	22	5	3	11	7	11	7	11	7	9	0	0
10	0	0	6	5	23	4	3	11	11	11	11	11	11	10	1	0
11	0	0	6	4	24	4	2	11	11	11	11	11	11	11	2	0
-1	-1	-1	6	30	24	10	5	11	11	11	11	11	11	0	1	1
13	0	0	6	30	24	10	5	11	11	11	11	11	11	0	1	1
